KPI_Number,SH_Code,KPI_Description,Required_Files,File_Types,Analysis_Methods,Sample_NACE_Codes,Min_File_Count,Quality_Criteria
1,SH1.1,Farkındalık artış oranı,"farkindalik_on_anket.csv,farkindalik_son_anket.csv,orneklem_plani.pdf,etkinlik_katilim.xlsx","CSV,CSV,PDF,XLSX","Örneklem/yanıt yanlılığı kontrol; ön-son t-testi; Cohen d etki büyüklüğü","10.11,25.62,29.10,13.20",4,"Minimum n≥30 örneklem; Cohen d≥0.3"
2,SH1.1,Ortak farkındalık etkinliği kurum sayısı,"etkinlik_takvimi.xlsx,protokoller_mou.pdf,katilimci_listesi.csv,etkinlik_fotograflari.zip","XLSX,PDF,CSV,ZIP","Kurum eşleşmesi; çift kayıt temizliği; benzersiz kurum sayımı","20.14,26.40,28.25,32.50",4,"Minimum 5 kurum; protokol doğrulaması gerekli"
3,SH1.2,Program katılımcılarının istihdam oranı,"katilimci_listesi.csv,yerlestirme_kayitlari.xlsx,sgk_eslestirme_anonim.csv,mezun_takip.pdf","CSV,XLSX,CSV,PDF","Takip oranı hesabı; örneklem yanlılığı kontrolü; 12 ay istihdam oranı","13.10,14.11,15.20,25.62",4,"Takip oranı ≥80%; SGK eşleştirme gerekli"
4,SH1.2,Toplam eğitim (kişi×saat),"lms_katilim_log.csv,egitim_plani.xlsx,egitmen_raporu.pdf","CSV,XLSX,PDF","Kişi×saat otomatik toplama; no-show ayıklama; sektörel dağılım","10.11,20.14,25.62,29.10",3,"Otomatik log kayıtları; no-show oranı <15%"
5,SH1.3,Destek programlarından yararlanan KOBİ sayısı,"yonlendirme_kayitlari.xlsx,kosgeb_kabul_yazilari.pdf,tubitak_proje_sozlesmeleri.pdf,ab_hibe_belgeleri.pdf","XLSX,PDF,PDF,PDF","Yönlendirme→başvuru→kabul huni analizi; tutar/tema dağılımı","22.22,23.70,26.40,28.25",4,"Resmi kabul belgeleri zorunlu"
6,SH1.4,Sürdürülebilirlik oranı,"6ay_takip_anketi.csv,12ay_takip_anketi.csv,yerinde_gozlem.pdf,sct_talimatlari.pdf","CSV,CSV,PDF,PDF","Uygulamaların devam oranı; kontrol listesi puanı; sektörel kalıcılık farkı","10.11,25.62,20.14,29.10",4,"6 ve 12 ay takip zorunlu; yerinde doğrulama"
7,SH1.4,Karbon emisyonu azalış oranı,"enerji_faturalari.pdf,mes_kayitlari.csv,iso14064_raporu.pdf,olcum_formlari.xlsx","PDF,CSV,PDF,XLSX","Baz çizgi→sonrası normalize tüketim; %CO₂ eşdeğer azalış","13.20,20.14,23.70,24.10",4,"ISO 14064 sertifikası tercih; normalize hesaplama"
8,SH1.5,Olgunluk seviyesine ulaşan KOBİ sayısı,"siri_degerlendirme.xlsx,ddx_raporu.pdf,tpm_olgunluk.pdf,denetim_raporlari.pdf","XLSX,PDF,PDF,PDF","Skor eşiklere göre sınıflama; öncesi-sonrası ilerleme","25.62,26.40,28.25,29.10",4,"Standardize olgunluk ölçekleri kullanımı"
11,SH2.1,Kârlılık oranı,"gelir_tablosu.xlsx,faaliyet_raporu.pdf,mali_tablolar_q4.xlsx","XLSX,PDF,XLSX","Net/operasyonel kârlılık; mevsimsellik arındırma; sektör benchmark","10.11,20.14,25.62,29.10",3,"Mali müşavir onayı; çeyreklik detay"
12,SH2.1,Yıllık gelir artış oranı,"faturalama_kayitlari.csv,tahakkuk_raporlari.xlsx,yillik_gelir_ozeti.pdf","CSV,XLSX,PDF","CAGR hesaplama; yıl içi trend; kaynak analizi","13.20,22.22,26.40,28.25",3,"Minimum 2 yıl veri; aylık kırılım"
20,SH3.1,Çalışan başına eğitim süresi,"lms_egitim_raporlari.csv,katilim_formlari.xlsx,sertifikalar.pdf","CSV,XLSX,PDF","Kişi başı saat hesabı; kritik rol boşluk analizi","10.11,20.14,25.62,32.50",3,"LMS otomatik kayıtları; sertifika doğrulaması"
22,SH3.3,OEE/etkinlik göstergesi,"mes_scada_logs.csv,vardiya_durus_kayitlari.xlsx,parca_sayaclari.csv","CSV,XLSX,CSV","OEE=K×P×K hesabı; kayıp ağacı analizi","25.62,29.10,13.20,26.40",3,"MES/SCADA entegrasyonu; gerçek zamanlı veri"
30,SH4.2,Marka tanınırlık oranı,"hedef_kitle_anketi.csv,dijital_erisim_stats.xlsx,medya_olcum_panolari.pdf","CSV,XLSX,PDF","Tanınırlık skoru; frekans erişim; sektör spesifik boşluklar","10.11,13.20,20.14,25.62",3,"Temsili örneklem; üçüncü taraf ölçüm"
32,SH4.3,Müdahale sonrası verimlilik artışı,"on_uretkenlik_olcumleri.xlsx,son_uretkenlik_olcumleri.xlsx,vsm_smed_raporlari.pdf","XLSX,XLSX,PDF","Ön-son fark (normalize); sektörel kıyas","25.62,29.10,13.20,28.25",3,"Baseline ve follow-up ölçümü; VSM/SMED dokümantasyonu"
