E_code,Description,SH_code,KPI_Hint
E1.1.6,"E1.1.6: KOBİ'ler için farkındalık artırıcı interaktif atölyeler, webinarlar, seminerler (4 tema için) organize etmek",SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E1.1.8,E1.1.8: Kurumsal dirençlilik hakkında özel bilgilendirme materyalleri ve etkinlikleri geliştirme,SH1.1,SH1.1; RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.2.1,"E1.2.1: Dijital, yeşil dönüşüm ve dirençlilik müfredatlarını MF operasyonlarına entegre etme",SH1.2,SH1.2; DIGITAL|GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.2.2,E1.2.2: Eğitim içeriklerini ve yöntemlerini (4 tema için) modüler yapıda sürekli iyileştirme ve güncelleme,SH1.2,SH1.2; LEAN|DIGITAL|GREEN|RESILIENCE
E1.2.3,"E1.2.3: KOBİ'ler, mühendisler, öğrenciler için kapsamlı eğitim, sertifikasyon, staj, mentorluk programları (4 tema için) düzenleme",SH1.2,SH1.2; LEAN|DIGITAL|GREEN|RESILIENCE
E1.2.4,"E1.2.4: Endüstri uzmanları, akademisyenler vb. ile ileri düzey uygulamalı atölye çalışmaları düzenleme (4 tema için)",SH1.2,SH1.2; LEAN|DIGITAL|GREEN|RESILIENCE
E1.2.5,E1.2.5: Üniversite/mesleki eğitim kurumlarıyla müfredatlara 4 dönüşüm alanında ders/program eklenmesini teşvik ve destekleme,SH1.2,SH1.2; LEAN|DIGITAL|GREEN|RESILIENCE
E1.3.2,E1.3.2: KOBİ'lere (4 alandaki projeler için) destek programlarına başvuru süreçlerinde rehberlik/danışmanlık sağlama,SH1.3,SH1.3; LEAN|DIGITAL|GREEN|RESILIENCE
E1.4.2,"E1.4.2: İleri teknoloji, yeşil/dirençli üretim uygulamalarının KOBİ'lere entegrasyonunda rehberlik/danışmanlık sunma",SH1.4,SH1.4; GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.4.3,"E1.4.3: İleri teknoloji, yeşil/dirençli üretim yöntemleri uygulamasına yönelik eğitim programları ve sertifikasyon düzenleme",SH1.4,SH1.4; GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
