KPI,SH_code,Sütun,KPI_Adı,Tanım/Not,KPI_Tipi,Birim,Hedef Yönü,Formül (öneri),Veri Kaynağı (öneri),Raporlama Sıklığı (öneri),Sorumlu Rol (öneri)
1,SH1.1,Etkİ/ekosİstem (Dış Etki),1. Hedef Bölge İmalat Sanayi Ort. Dönüşüm Farkındalık Artış Oranı,"Yalın, dijital, yeşil ve dirençlilik konularında yapılan anketlerle ölçülen algı değişimi.",Sonuç (Outcome),%,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Sahip Atanacak
2,SH1.1,Etkİ/ekosİstem (Dış Etki),2. Ortak farkındalık etkinliği düzenlenen kilit kurum sayısı,"OSB, sanayi odası gibi stratejik paydaşlarla yapılan etkinlik sayısı.",Çıktı (Output),adet,↑ daha iyi,,Manuel Kayıt / Proje Takip,Çeyreklik,Kurumsal İletişim/CRM
3,SH1.2,Etkİ/ekosİstem (Dış Etki),3. Model Fabrika programlarına katılanların ilgili alanlarda istihdam olma oranı,Mezunların başarısını ölçer.,Sonuç (Outcome),%,↑ daha iyi,İstihdam Oranı (%) = 100 × (İlgili Alanlarda İstihdam Edilen Mezun / Toplam Mezun),HRIS / Anket,Çeyreklik,Sahip Atanacak
4,SH1.2,Etkİ/ekosİstem (Dış Etki),4. Verilen toplam eğitim (kişi*saat) miktarı,Eğitim faaliyetlerinin toplam hacmini gösterir.,Sonuç (Outcome),₺,↑ daha iyi,Toplam Eğitim (kişi*saat) = Katılımcı Sayısı × Eğitim Süresi (saat),LMS / Eğitim Kayıtları,Aylık,Eğitim/Program Koordinatörü
5,SH1.3,Etkİ/ekosİstem (Dış Etki),5. Yönlendirme sonucu destek programlarından yararlanan KOBİ sayısı,Yapılan yönlendirmenin somut bir projeye ve finansal kaynağa dönüştüğünü gösterir.,Çıktı (Output),adet,↑ daha iyi,,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
6,SH1.4,Etkİ/ekosİstem (Dış Etki),"6. İleri teknoloji, yeşil ve/veya dirençli üretim projelerinin tamamlanma sonrası KOBİ bünyesinde sürdürülebilirlik oranı",Projenin kalıcı bir etki yaratıp yaratmadığını ölçer.,Sonuç (Outcome),%,↑ daha iyi,,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
7,SH1.4,Etkİ/ekosİstem (Dış Etki),7. İleri teknolojiler ve yeşil üretim uygulamaları ile sağlanan ortalama karbon emisyonu azalış oranı,Yeşil dönüşümün en somut ve ölçülebilir çıktısıdır.,Sonuç (Outcome),%,↓ daha iyi,CO₂e Azalış (%) = 100 × (Baz Dönem Emisyon − Cari Emisyon) / Baz Dönem Emisyon,Enerji/Çevre İzleme (EMS),Çeyreklik,Sahip Atanacak
8,SH1.5,Etkİ/ekosİstem (Dış Etki),"8. Yalın, dijital, yeşil dönüşüm veya dirençlilik alanında belirli bir olgunluk seviyesine ulaşan KOBİ sayısı",MF müdahalesinin KOBİ'yi ne kadar ileri taşıdığını gösterir.,Çıktı (Output),adet,↑ daha iyi,Olgunluk Eşik Üstü KOBİ Sayısı = Eşik değeri geçen KOBİ adedi,Olgunluk Araçları (SIRI/DDX) & Sistem Logları,Çeyreklik,Operasyon Kalite Mühendisi
9,SH1.6,Etkİ/ekosİstem (Dış Etki),9. Birden fazla temel dönüşüm alanında (bütüncül) hizmet alan KOBİ oranı,KOBİ'lerle kurulan ilişkinin derinliğini ve bütüncül dönüşüm vizyonuna uyumu gösterir.,Sonuç (Outcome),%,↑ daha iyi,,CRM & Proje Takip,Çeyreklik,Sahip Atanacak
10,SH1.6,Etkİ/ekosİstem (Dış Etki),Yalın dönüşüm odaklı Öğren-Dönüş Programını tamamlayan KOBİ sayısı,Model Fabrikaların amiral gemisi hizmetinin doğrudan performansını ölçer.,Çıktı (Output),adet,↑ daha iyi,Tamamlayan KOBİ Sayısı = Programı başarıyla bitiren KOBİ adedi,CRM & Proje Takip,Çeyreklik,Eğitim/Program Koordinatörü
