KPI,Müdahale Modülü
22,VSM
22,SMED
22,TPM
22,MES/MOM
22,SPC
22,Standart İş
32,VSM
32,SMED
32,TPM
32,MES/MOM
32,SPC
32,Standart İş
30,CRM
31,CRM
33,CRM
27,CRM
27,ERP
27,LMS
6,Enerji Yönetimi
7,Enerji Yönetimi
23,QMS/eQMS
25,QMS/eQMS
5,VSM
5,Standart İş
5,DDX/SIRI
8,VSM
8,Standart İş
8,DDX/SIRI
9,VSM
9,Standart İş
9,DDX/SIRI
10,VSM
10,Standart İş
10,DDX/SIRI
11,ERP
11,CRM
12,ERP
12,CRM
13,ERP
13,CRM
14,ERP
14,CRM
15,ERP
15,CRM
16,ERP
16,CRM
17,ERP
17,CRM
18,ERP
18,CRM
29,CRM
29,QMS/eQMS
40,Benchmarking/Uluslararası Ağ
41,Benchmarking/Uluslararası Ağ
