İl,Exports_2024_M$,GDP_Class,GDP_Class_Factor,Economic_Size_Index
Ankara,14067,High,1.05,1.034175553
Bursa,16706,High,1.05,1.055357757
Gaziantep,9991,High,1.05,1.001459122
İzmir,13610,High,1.05,1.030507396
Kayseri,2957,Medium,1,0.93
Konya,3553,Medium,1,0.934783855
Mersin,3152,Medium,1,0.931565187
Adana,3045,Medium,1,0.930706341
Eskişehir,,Medium,1,1
Samsun,,Medium,1,1
Denizli,4382,Medium,1,0.941437908
Kocaeli,20399,High,1.05,1.085
Malatya,,Low,0.95,0.95
Tekirdağ,,Medium,1,1
Trabzon,,Low,0.95,0.95
