Senaryo,Model Fabrika,SH1,SH2,SH3,SH4
SectorFit +10%,Adana,0.207549973,0.240007389,0.351554406,0.200888232
SectorFit +10%,Ankara,0.20599905,0.24206008,0.351235099,0.200705771
SectorFit +10%,Bursa,0.207213156,0.240453176,0.351485061,0.200848607
SectorFit +10%,Denizli,0.360874441,0.190396598,0.249293867,0.199435094
SectorFit +10%,Eskişehir,0.206086161,0.241944787,0.351253033,0.200716019
SectorFit +10%,Gaziantep,0.207316165,0.24031684,0.351506269,0.200860725
SectorFit +10%,Kayseri,0.206215848,0.241773142,0.351279733,0.200731276
SectorFit +10%,Kocaeli,0.360189448,0.191001527,0.249338348,0.199470678
SectorFit +10%,Konya,0.206210838,0.241779774,0.351278702,0.200730687
SectorFit +10%,Malatya,0.359154364,0.191915627,0.249405561,0.199524449
SectorFit +10%,Mersin,0.206558989,0.241318985,0.35135038,0.200771646
SectorFit +10%,Samsun,0.206123674,0.241895137,0.351260756,0.200720432
SectorFit +10%,Tekirdağ,0.360764577,0.19049362,0.249301001,0.199440801
SectorFit +10%,Trabzon,0.359103568,0.191960486,0.249408859,0.199527087
SectorFit +10%,İzmir,0.207241343,0.24041587,0.351490865,0.200851923
SectorFit -10%,Adana,0.208217086,0.239124446,0.351691753,0.200966716
SectorFit -10%,Ankara,0.206520617,0.241369771,0.35134248,0.200767131
SectorFit -10%,Bursa,0.2078236,0.239645235,0.351610741,0.200920424
SectorFit -10%,Denizli,0.361894821,0.189495483,0.249227609,0.199382087
SectorFit -10%,Eskişehir,0.206620224,0.241237939,0.351362987,0.20077885
SectorFit -10%,Gaziantep,0.207951477,0.239475986,0.351637069,0.200935468
SectorFit -10%,Kayseri,0.20677876,0.241028112,0.351395627,0.200797501
SectorFit -10%,Kocaeli,0.361112212,0.190186618,0.249278428,0.199422742
SectorFit -10%,Konya,0.206771602,0.241037586,0.351394153,0.200796659
SectorFit -10%,Malatya,0.360007162,0.191162506,0.249350184,0.199480147
SectorFit -10%,Mersin,0.207147695,0.240539815,0.351471584,0.200840905
SectorFit -10%,Samsun,0.206656515,0.241189906,0.351370459,0.200783119
SectorFit -10%,Tekirdağ,0.361738456,0.189633572,0.249237763,0.19939021
SectorFit -10%,Trabzon,0.359957469,0.191206391,0.249353411,0.199482729
SectorFit -10%,İzmir,0.207863771,0.239592068,0.351619012,0.20092515
Alpha↑ (0.50),Adana,0.207446328,0.240144565,0.351533068,0.200876039
Alpha↑ (0.50),Ankara,0.205943752,0.24213327,0.351223714,0.200699265
Alpha↑ (0.50),Bursa,0.207158507,0.240525505,0.35147381,0.200842177
Alpha↑ (0.50),Denizli,0.360703295,0.19054774,0.249304981,0.199443985
Alpha↑ (0.50),Eskişehir,0.206021251,0.242030697,0.351239669,0.200708383
Alpha↑ (0.50),Gaziantep,0.207236937,0.240421701,0.351489958,0.200851404
Alpha↑ (0.50),Kayseri,0.206123674,0.241895137,0.351260756,0.200720432
Alpha↑ (0.50),Kocaeli,0.360087863,0.191091238,0.249344944,0.199475955
Alpha↑ (0.50),Konya,0.206121009,0.241898665,0.351260208,0.200720119
Alpha↑ (0.50),Malatya,0.359030493,0.19202502,0.249413604,0.199530884
Alpha↑ (0.50),Mersin,0.206465369,0.241442894,0.351331105,0.200760632
Alpha↑ (0.50),Samsun,0.206063008,0.241975431,0.351248266,0.200713295
Alpha↑ (0.50),Tekirdağ,0.360643378,0.190600653,0.249308872,0.199447097
Alpha↑ (0.50),Trabzon,0.358974359,0.192074592,0.249417249,0.1995338
Alpha↑ (0.50),İzmir,0.207173324,0.240505894,0.351476861,0.200843921
Delta↑ (0.15),Adana,0.21136991,0.23495159,0.352340864,0.201337636
Delta↑ (0.15),Ankara,0.209097563,0.237959108,0.351873028,0.201070302
Delta↑ (0.15),Bursa,0.210863273,0.235622138,0.352236556,0.201278032
Delta↑ (0.15),Denizli,0.366343303,0.185566953,0.248938747,0.199150997
Delta↑ (0.15),Eskişehir,0.209228913,0.237785262,0.35190007,0.201085754
Delta↑ (0.15),Gaziantep,0.211023239,0.235410419,0.35226949,0.201296852
Delta↑ (0.15),Kayseri,0.209430861,0.237517978,0.351941648,0.201109513
Delta↑ (0.15),Kocaeli,0.365332383,0.186459713,0.249004391,0.199203513
Delta↑ (0.15),Konya,0.209422397,0.23752918,0.351939905,0.201108517
Delta↑ (0.15),Malatya,0.363844125,0.187774019,0.249101031,0.199280825
Delta↑ (0.15),Mersin,0.209931354,0.236855561,0.35204469,0.201168395
Delta↑ (0.15),Samsun,0.209281165,0.237716106,0.351910828,0.201091902
Delta↑ (0.15),Tekirdağ,0.366162066,0.185727007,0.248950515,0.199160412
Delta↑ (0.15),Trabzon,0.363773685,0.187836226,0.249105605,0.199284484
Delta↑ (0.15),İzmir,0.210910389,0.235559779,0.352246257,0.201283575
