Model Fabrika,Durum,Pillar,SH_code,KPI_Count,Share_in_Pillar,Target_Weight
Ankara,Aktif,SH1,SH1.1,2,0.2,0.041249794
Ankara,Aktif,SH1,SH1.2,2,0.2,0.041249794
Ankara,Aktif,SH1,SH1.3,1,0.1,0.020624897
Ankara,Aktif,SH1,SH1.4,2,0.2,0.041249794
Ankara,Aktif,SH1,SH1.5,1,0.1,0.020624897
Ankara,Aktif,SH1,SH1.6,2,0.2,0.041249794
Ankara,Aktif,SH2,SH2.1,2,0.25,0.060432326
Ankara,Aktif,SH2,SH2.2,1,0.125,0.030216163
Ankara,Aktif,SH2,SH2.3,2,0.25,0.060432326
Ankara,Aktif,SH2,SH2.4,2,0.25,0.060432326
Ankara,Aktif,SH2,SH2.5,1,0.125,0.030216163
Ankara,Aktif,SH3,SH3.1,1,0.111111111,0.039031839
Ankara,Aktif,SH3,SH3.2,1,0.111111111,0.039031839
Ankara,Aktif,SH3,SH3.3,1,0.111111111,0.039031839
Ankara,Aktif,SH3,SH3.4,1,0.111111111,0.039031839
Ankara,Aktif,SH3,SH3.5,1,0.111111111,0.039031839
Ankara,Aktif,SH3,SH3.6,2,0.222222222,0.078063678
Ankara,Aktif,SH3,SH3.7,1,0.111111111,0.039031839
Ankara,Aktif,SH3,SH3.8,1,0.111111111,0.039031839
Ankara,Aktif,SH4,SH4.1,1,0.071428571,0.014338227
Ankara,Aktif,SH4,SH4.2,2,0.142857143,0.028676453
Ankara,Aktif,SH4,SH4.3,3,0.214285714,0.04301468
Ankara,Aktif,SH4,SH4.4,1,0.071428571,0.014338227
Ankara,Aktif,SH4,SH4.5,1,0.071428571,0.014338227
Ankara,Aktif,SH4,SH4.6,1,0.071428571,0.014338227
Ankara,Aktif,SH4,SH4.7,2,0.142857143,0.028676453
Ankara,Aktif,SH4,SH4.8,3,0.214285714,0.04301468
Bursa,Aktif,SH1,SH1.1,2,0.2,0.041501197
Bursa,Aktif,SH1,SH1.2,2,0.2,0.041501197
Bursa,Aktif,SH1,SH1.3,1,0.1,0.020750599
Bursa,Aktif,SH1,SH1.4,2,0.2,0.041501197
Bursa,Aktif,SH1,SH1.5,1,0.1,0.020750599
Bursa,Aktif,SH1,SH1.6,2,0.2,0.041501197
Bursa,Aktif,SH2,SH2.1,2,0.25,0.060016401
Bursa,Aktif,SH2,SH2.2,1,0.125,0.030008201
Bursa,Aktif,SH2,SH2.3,2,0.25,0.060016401
Bursa,Aktif,SH2,SH2.4,2,0.25,0.060016401
Bursa,Aktif,SH2,SH2.5,1,0.125,0.030008201
Bursa,Aktif,SH3,SH3.1,1,0.111111111,0.039060594
Bursa,Aktif,SH3,SH3.2,1,0.111111111,0.039060594
Bursa,Aktif,SH3,SH3.3,1,0.111111111,0.039060594
Bursa,Aktif,SH3,SH3.4,1,0.111111111,0.039060594
Bursa,Aktif,SH3,SH3.5,1,0.111111111,0.039060594
Bursa,Aktif,SH3,SH3.6,2,0.222222222,0.078121189
Bursa,Aktif,SH3,SH3.7,1,0.111111111,0.039060594
Bursa,Aktif,SH3,SH3.8,1,0.111111111,0.039060594
Bursa,Aktif,SH4,SH4.1,1,0.071428571,0.01434879
Bursa,Aktif,SH4,SH4.2,2,0.142857143,0.02869758
Bursa,Aktif,SH4,SH4.3,3,0.214285714,0.043046369
Bursa,Aktif,SH4,SH4.4,1,0.071428571,0.01434879
Bursa,Aktif,SH4,SH4.5,1,0.071428571,0.01434879
Bursa,Aktif,SH4,SH4.6,1,0.071428571,0.01434879
Bursa,Aktif,SH4,SH4.7,2,0.142857143,0.02869758
Bursa,Aktif,SH4,SH4.8,3,0.214285714,0.043046369
Gaziantep,Aktif,SH1,SH1.1,2,0.2,0.041524121
Gaziantep,Aktif,SH1,SH1.2,2,0.2,0.041524121
Gaziantep,Aktif,SH1,SH1.3,1,0.1,0.02076206
Gaziantep,Aktif,SH1,SH1.4,2,0.2,0.041524121
Gaziantep,Aktif,SH1,SH1.5,1,0.1,0.02076206
Gaziantep,Aktif,SH1,SH1.6,2,0.2,0.041524121
Gaziantep,Aktif,SH2,SH2.1,2,0.25,0.059978477
Gaziantep,Aktif,SH2,SH2.2,1,0.125,0.029989238
Gaziantep,Aktif,SH2,SH2.3,2,0.25,0.059978477
Gaziantep,Aktif,SH2,SH2.4,2,0.25,0.059978477
Gaziantep,Aktif,SH2,SH2.5,1,0.125,0.029989238
Gaziantep,Aktif,SH3,SH3.1,1,0.111111111,0.039063216
Gaziantep,Aktif,SH3,SH3.2,1,0.111111111,0.039063216
Gaziantep,Aktif,SH3,SH3.3,1,0.111111111,0.039063216
Gaziantep,Aktif,SH3,SH3.4,1,0.111111111,0.039063216
Gaziantep,Aktif,SH3,SH3.5,1,0.111111111,0.039063216
Gaziantep,Aktif,SH3,SH3.6,2,0.222222222,0.078126433
Gaziantep,Aktif,SH3,SH3.7,1,0.111111111,0.039063216
Gaziantep,Aktif,SH3,SH3.8,1,0.111111111,0.039063216
