Model Fabrika,SH1.1,SH1.2,SH1.3,SH1.4,SH1.5,SH1.6,SH2.1,SH2.2,SH2.3,SH2.4,SH2.5,SH3.1,SH3.2,SH3.3,SH3.4,SH3.5,SH3.6,SH3.7,SH3.8,SH4.1,SH4.2,SH4.3,SH4.4,SH4.5,SH4.6,SH4.7,SH4.8
Adana,0.041573883,0.041573883,0.020786942,0.041573883,0.020786942,0.041573883,0.059896149,0.029948075,0.059896149,0.059896149,0.029948075,0.039068908,0.039068908,0.039068908,0.039068908,0.039068908,0.078137816,0.039068908,0.039068908,0.014351844,0.028703688,0.043055532,0.014351844,0.014351844,0.014351844,0.028703688,0.043055532
Ankara,0.041249794,0.041249794,0.020624897,0.041249794,0.020624897,0.041249794,0.060432326,0.030216163,0.060432326,0.060432326,0.030216163,0.039031839,0.039031839,0.039031839,0.039031839,0.039031839,0.078063678,0.039031839,0.039031839,0.014338227,0.028676453,0.04301468,0.014338227,0.014338227,0.014338227,0.028676453,0.04301468
Bursa,0.041501197,0.041501197,0.020750599,0.041501197,0.020750599,0.041501197,0.060016401,0.030008201,0.060016401,0.060016401,0.030008201,0.039060594,0.039060594,0.039060594,0.039060594,0.039060594,0.078121189,0.039060594,0.039060594,0.01434879,0.02869758,0.043046369,0.01434879,0.01434879,0.01434879,0.02869758,0.043046369
Denizli,0.072272353,0.072272353,0.036136177,0.072272353,0.036136177,0.072272353,0.047491558,0.023745779,0.047491558,0.047491558,0.023745779,0.027695803,0.027695803,0.027695803,0.027695803,0.027695803,0.055391605,0.027695803,0.027695803,0.014243556,0.028487111,0.042730667,0.014243556,0.014243556,0.014243556,0.028487111,0.042730667
Eskişehir,0.041268394,0.041268394,0.020634197,0.041268394,0.020634197,0.041268394,0.060401554,0.030200777,0.060401554,0.060401554,0.030200777,0.039033967,0.039033967,0.039033967,0.039033967,0.039033967,0.078067933,0.039033967,0.039033967,0.014339008,0.028678016,0.043017024,0.014339008,0.014339008,0.014339008,0.028678016,0.043017024
Gaziantep,0.041524121,0.041524121,0.02076206,0.041524121,0.02076206,0.041524121,0.059978477,0.029989238,0.059978477,0.059978477,0.029989238,0.039063216,0.039063216,0.039063216,0.039063216,0.039063216,0.078126433,0.039063216,0.039063216,0.014349753,0.028699506,0.043049259,0.014349753,0.014349753,0.014349753,0.028699506,0.043049259
Kayseri,0.041297022,0.041297022,0.020648511,0.041297022,0.020648511,0.041297022,0.060354191,0.030177095,0.060354191,0.060354191,0.030177095,0.039037241,0.039037241,0.039037241,0.039037241,0.039037241,0.078074482,0.039037241,0.039037241,0.014340211,0.028680422,0.043020633,0.014340211,0.014340211,0.014340211,0.028680422,0.043020633
Kocaeli,0.072126169,0.072126169,0.036063084,0.072126169,0.036063084,0.072126169,0.047652931,0.023826465,0.047652931,0.047652931,0.023826465,0.027701076,0.027701076,0.027701076,0.027701076,0.027701076,0.055402152,0.027701076,0.027701076,0.014246268,0.028492535,0.042738803,0.014246268,0.014246268,0.014246268,0.028492535,0.042738803
Konya,0.041295822,0.041295822,0.020647911,0.041295822,0.020647911,0.041295822,0.060356177,0.030178089,0.060356177,0.060356177,0.030178089,0.039037104,0.039037104,0.039037104,0.039037104,0.039037104,0.078074208,0.039037104,0.039037104,0.014340161,0.028680321,0.043020482,0.014340161,0.014340161,0.014340161,0.028680321,0.043020482
Malatya,0.071912357,0.071912357,0.035956179,0.071912357,0.035956179,0.071912357,0.047888956,0.023944478,0.047888956,0.047888956,0.023944478,0.027708789,0.027708789,0.027708789,0.027708789,0.027708789,0.055417579,0.027708789,0.027708789,0.014250235,0.028500469,0.042750704,0.014250235,0.014250235,0.014250235,0.028500469,0.042750704
Mersin,0.04136814,0.04136814,0.02068407,0.04136814,0.02068407,0.04136814,0.060236533,0.030118267,0.060236533,0.060236533,0.030118267,0.039045375,0.039045375,0.039045375,0.039045375,0.039045375,0.078090751,0.039045375,0.039045375,0.014343199,0.028686398,0.043029597,0.014343199,0.014343199,0.014343199,0.028686398,0.043029597
Samsun,0.041275797,0.041275797,0.020637899,0.041275797,0.020637899,0.041275797,0.060389306,0.030194653,0.060389306,0.060389306,0.030194653,0.039034813,0.039034813,0.039034813,0.039034813,0.039034813,0.078069627,0.039034813,0.039034813,0.014339319,0.028678638,0.043017958,0.014339319,0.014339319,0.014339319,0.028678638,0.043017958
Tekirdağ,0.072246089,0.072246089,0.036123044,0.072246089,0.036123044,0.072246089,0.047520552,0.023760276,0.047520552,0.047520552,0.023760276,0.02769675,0.02769675,0.02769675,0.02769675,0.02769675,0.0553935,0.02769675,0.02769675,0.014244043,0.028488086,0.042732129,0.014244043,0.014244043,0.014244043,0.028488086,0.042732129
Trabzon,0.071902278,0.071902278,0.035951139,0.071902278,0.035951139,0.071902278,0.047900082,0.023950041,0.047900082,0.047900082,0.023950041,0.027709153,0.027709153,0.027709153,0.027709153,0.027709153,0.055418306,0.027709153,0.027709153,0.014250422,0.028500843,0.042751265,0.014250422,0.014250422,0.014250422,0.028500843,0.042751265
İzmir,0.041507947,0.041507947,0.020753973,0.041507947,0.020753973,0.041507947,0.060005235,0.030002618,0.060005235,0.060005235,0.030002618,0.039061366,0.039061366,0.039061366,0.039061366,0.039061366,0.078122733,0.039061366,0.039061366,0.014349073,0.028698147,0.04304722,0.014349073,0.014349073,0.014349073,0.028698147,0.04304722
