kpiNumber,kpiId,shCode,score_keywords,score_theme,score_shHint,rawScore,weight
1,cmcwg5ash001nlvzdfayn4vac,SH1.1,-,-,-,4.6000,0.7419
2,cmcwg5asi001plvzdfpoodqqq,SH1.1,-,-,-,1.6000,0.2581
3,cmcwg5asj001rlvzdxu2m3i8v,SH1.2,-,-,-,1.6000,0.3810
4,cmcwg5ask001tlvzdffekwj13,SH1.2,-,-,-,2.6000,0.6190
5,cmcwg5asl001vlvzdf0uie0o2,SH1.3,-,-,-,1.6000,1.0000
6,cmcwg5asm001xlvzdlq1y9zxc,SH1.4,-,-,-,3.6000,0.6316
7,cmcwg5asn001zlvzd5qpptz50,SH1.4,-,-,-,2.1000,0.3684
8,cmcwg5aso0021lvzdaizvhadb,SH1.5,-,-,-,4.6000,1.0000
9,cmcwg5aso0023lvzdwyr4u1ui,SH1.6,-,-,-,1.6000,0.5926
10,cmcwg5asp0025lvzdhbfa4meq,SH1.6,-,-,-,1.1000,0.4074
11,cmcwg5asq0027lvzdct7to0b1,SH2.1,-,-,-,1.0000,0.5000
12,cmcwg5asr0029lvzdwyzvvpva,SH2.1,-,-,-,1.0000,0.5000
13,cmcwg5ass002blvzdiss4lvcs,SH2.2,-,-,-,1.0000,1.0000
14,cmcwg5ast002dlvzdg6udc8bg,SH2.3,-,-,-,1.0000,0.5000
15,cmcwg5asu002flvzd9y2vo3gz,SH2.3,-,-,-,1.0000,0.5000
16,cmcwg5asv002hlvzdz3iq01e3,SH2.4,-,-,-,1.0000,0.5000
17,cmcwg5asw002jlvzdp42qigmc,SH2.4,-,-,-,1.0000,0.5000
18,cmcwg5asx002llvzd4099kw2u,SH2.5,-,-,-,1.0000,1.0000
19,cmcwg5asx002nlvzdhpg1dtin,SH4.8,-,-,-,1.0000,0.3333
40,cmcwg5atd003tlvzdg302tqx3,SH4.8,-,-,-,1.0000,0.3333
41,cmcwg5ate003vlvzdaiq0dac2,SH4.8,-,-,-,1.0000,0.3333
20,cmcwg5asy002plvzd143xwjgf,SH3.1,-,-,-,2.0000,1.0000
21,cmcwg5asz002rlvzdskzcdiiu,SH3.2,-,-,-,1.0000,1.0000
22,cmcwg5at0002tlvzdtk2z612a,SH3.3,-,-,-,2.0000,1.0000
23,cmcwg5at1002vlvzdl9fvo4mz,SH3.4,-,-,-,2.0000,1.0000
24,cmcwg5at1002xlvzdu7hatup5,SH3.5,-,-,-,1.0000,1.0000
25,cmcwg5at2002zlvzd1mkg8fwt,SH3.6,-,-,-,2.0000,0.5000
26,cmcwg5at20031lvzdzyl4x77k,SH3.6,-,-,-,2.0000,0.5000
27,cmcwg5at30033lvzdu98v5x7j,SH3.7,-,-,-,2.0000,1.0000
28,cmcwg5at40035lvzdg0yyqiuf,SH3.8,-,-,-,1.0000,1.0000
29,cmcwg5at50037lvzdl86v7lod,SH4.1,-,-,-,2.0000,1.0000
30,cmcwg5at50039lvzdrgqv2kh3,SH4.2,-,-,-,1.0000,0.3333
31,cmcwg5at6003blvzdt2l4gpqx,SH4.2,-,-,-,2.0000,0.6667
32,cmcwg5at7003dlvzd8hgighl0,SH4.3,-,-,-,2.0000,0.4000
33,cmcwg5at8003flvzdmrgrw2yb,SH4.3,-,-,-,2.0000,0.4000
34,cmcwg5at8003hlvzdzg87gmwj,SH4.3,-,-,-,1.0000,0.2000
35,cmcwg5at9003jlvzdosb0huit,SH4.4,-,-,-,1.0000,1.0000
36,cmcwg5ata003llvzdten3g66s,SH4.5,-,-,-,1.0000,1.0000
37,cmcwg5ata003nlvzdcqeebh8c,SH4.6,-,-,-,3.0000,1.0000
38,cmcwg5atb003plvzddnmw7b77,SH4.7,-,-,-,1.0000,0.5000
39,cmcwg5atd003rlvzd9yexm52m,SH4.7,-,-,-,1.0000,0.5000
